param:,tech:,inv,var,fix,f,capa,eff,em,yr,:=
,296,61342,0.981041,515.425536,20115.38,,,,,
,297,65402,58.270694,523.885146,20115.7,,,,,
,298,68086,243.340515,495.341755,20117.65,,,,,
,299,68857,429.40892,493.978996,20125.95,,,,,
,300,68963,529.024305,517.456828,20126.85,,,,,
,301,65057,513.130637,518.211701,20120.3,,,,,
,302,67059,468.549665,539.516381,20086.28,,,,,
,303,67898,357.742026,525.273138,20060.64,,,,,
,304,67415,231.766484,526.298257,20062,,,,,
,305,67723,75.106852,491.258887,20058.16,,,,,
,306,68160,4.213273,451.20863,20055.53,,,,,
,307,68115,0.057612,441.29657,20053.03,,,,,
,308,66314,0.054282,457.728555,20032.92,,,,,
,309,64048,0.00016,459.08043,20032.7,,,,,
,310,62564,0,442.099273,20059.72,,,,,
,311,64090,0.00016,406.929777,20085.91,,,,,
,312,65672,0.00046,385.878076,20102,,,,,
,313,62808,0.00008,375.143334,20114.41,,,,,
,314,60839,0.00016,419.413872,20119.25,,,,,
,315,59830,0.0005,414.970345,20120.1,,,,,
,316,58973,0.00038,414.560843,20119.29,,,,,
,317,58409,0.00016,458.545165,20119.25,,,,,
,318,58956,0.00024,457.689309,20119.38,,,,,
,319,60048,0.054314,412.775088,20118.81,,,,,
,320,61610,1.075772,359.264706,20118.25,,,,,
,321,65551,63.127123,337.149037,20117.87,,,,,
,322,68008,273.883325,357.435302,20116.4,,,,,
,323,68937,505.363367,377.561553,20152.77,,,,,
,324,68823,649.89054,384.792508,20120.06,,,,,
,325,64548,743.61493,380.171509,20105.19,,,,,
,326,66437,737.324659,329.229558,20104.96,,,,,
,327,67131,629.224462,328.92168,20052.1,,,,,
,328,66384,425.579681,295.749047,20047.26,,,,,
,329,66709,159.963298,226.276199,20046.11,,,,,
,330,67403,11.523447,133.33455,20077.42,,,,,
,331,67717,0.055558,120.897108,20093.76,,,,,
,332,66113,0.049663,100.867844,20120.05,,,,,
,333,63886,0.0004,84.323203,20119.54,,,,,
,334,62138,0.00016,92.974877,20121.36,,,,,
,335,63392,0.00024,101.253108,20158.97,,,,,
,336,65068,0.00008,127.515375,20203.8,,,,,
,337,61871,0.00022,141.528528,20227.34,,,,,
,338,59788,0.0002,159.599936,20228.19,,,,,
,339,58578,0.00016,143.679253,20226.58,,,,,
,340,57822,0.00032,144.99979,20226.19,,,,,
,341,57629,0.0002,146.817499,20222.2,,,,,
,342,57919,0.00032,120.658094,20123.2,,,,,
,343,58875,0.0644,83.721178,20117.62,,,,,
,344,60512,0.770436,65.287921,20117.02,,,,,
,345,64716,54.911636,64.772773,20115.03,,,,,
,346,67362,235.870606,78.967381,20116.1,,,,,
,347,68539,461.335594,85.620183,20138.39,,,,,
,348,68049,611.443647,101.465402,20202.02,,,,,
,349,63403,661.252144,76.96605,20170.05,,,,,
,350,65096,619.791402,70.432909,20142.55,,,,,
,351,65554,516.636291,78.410463,20155.11,,,,,
,352,64917,342.100568,60.795219,20125.53,,,,,
,353,65296,132.160753,46.384094,20098.79,,,,,
,354,66230,10.679804,26.58781,20094.38,,,,,
,355,66452,0.040726,24.483541,20097.05,,,,,
,356,64323,0.048515,18.797611,20147.65,,,,,
,357,62213,0,14.52948,20175.93,,,,,
,358,60768,0.00022,9.326959,20204.33,,,,,
,359,62495,0.00006,9.672027,20212.58,,,,,
,360,64224,0.0004,13.129343,20223.69,,,,,
,361,61076,0.00008,12.31308,20221.93,,,,,
,362,59023,0.0003,12.190047,20222.96,,,,,
,363,57956,0.0003,11.335325,20229.35,,,,,
,364,57067,0.00032,16.323514,20255.59,,,,,
,365,56941,0.00016,21.169568,20281.79,,,,,
,366,57103,0.00016,20.741458,20280.15,,,,,
,367,57444,0.039732,13.376785,20279.99,,,,,
,368,56968,0.684735,8.974648,20252.97,,,,,
,369,58574,57.92897,12.110554,20240.71,,,,,
,370,59699,234.394719,36.181845,20262.23,,,,,
,371,60963,412.279114,17.956607,20261.27,,,,,
,372,60892,531.851092,19.586202,20256.94,,,,,
,373,57345,592.530324,20.100932,20243.95,,,,,
,374,57788,608.398011,27.509363,20249.34,,,,,
,375,57660,519.81363,21.346922,20262.69,,,,,
,376,56595,333.66505,21.182249,20274.06,,,,,
,377,55962,131.647481,14.694044,20244.79,,,,,
,378,56262,10.639572,10.647641,20249.08,,,,,
,379,57564,0.044927,12.895219,20233.36,,,,,
,380,57028,0.045661,13.670413,20243.09,,,,,
,381,56423,0.00016,11.665852,20245.13,,,,,
,382,56182,0.00016,13.751168,20240.39,,,,,
,383,58575,0.00014,19.582739,20241.06,,,,,
,384,60695,0.00038,21.189066,20240.82,,,,,
,385,58140,0.00008,31.094651,20239.63,,,,,
,386,56177,0,37.366525,20242.95,,,,,
,387,55101,0.0003,14.913247,20244.01,,,,,
,388,54217,0.0003,24.652569,20241.7,,,,,
,389,54015,0.00016,41.894014,20240.54,,,,,
,390,54031,0,87.806551,20239.17,,,,,
,391,53312,0.036646,97.142463,20239.91,,,,,
,392,51516,0.122497,95.69979,20239.31,,,,,
,393,49623,18.391414,101.19528,20240.21,,,,,
,394,48555,79.664745,101.492016,20242.87,,,,,
,395,49583,138.68357,59.148803,20244.67,,,,,
,396,49649,162.362845,45.819079,20247.35,,,,,
,397,48613,154.8785,61.243015,20247.38,,,,,
,398,48709,120.14185,88.8792,20246.52,,,,,
,399,48385,76.120041,104.575418,20245.7,,,,,
,400,47997,48.246403,118.450911,20244.5,,,,,
,401,48486,20.425134,149.304805,20244.53,,,,,
,402,50428,1.996525,170.732143,20248.05,,,,,
,403,53162,0.049523,176.946137,20245.89,,,,,
,404,53304,0.050415,188.228459,20245.05,,,,,
,405,53084,0.000312,202.778624,20243.53,,,,,
,406,53321,0,181.728473,20239.69,,,,,
,407,55968,0.00014,175.515009,20239.07,,,,,
,408,57311,0.00068,157.614745,20237.82,,,,,
,409,54789,0,186.553839,20237.14,,,,,
,410,53108,0.00008,252.043549,20237.07,,,,,
,411,51903,0.0003,316.041349,20238.11,,,,,
,412,51366,0.00024,390.359782,20238.65,,,,,
,413,51652,0.00022,426.705982,20238.1,,,,,
,414,52589,0.0004,467.890333,20236.31,,,,,
,415,54068,0.040819,487.118417,20236.94,,,,,
,416,56754,0.371529,509.429672,20235.61,,,,,
,417,62477,26.210023,548.75851,20232.58,,,,,
,418,65857,144.271714,606.356399,20231.98,,,,,
,419,67347,309.316543,654.967131,20236.02,,,,,
,420,67162,427.49052,649.024262,20238.52,,,,,
,421,62315,486.650614,621.326507,20224.05,,,,,
,422,64147,464.030326,584.660676,20175.43,,,,,
,423,64603,363.363929,594.281177,20173.15,,,,,
,424,63822,239.09414,588.740806,20132.46,,,,,
,425,64013,83.710674,540.4443,20127.06,,,,,
,426,64906,4.936641,485.840797,20115.18,,,,,
,427,65626,0.065504,447.645383,20116.23,,,,,
,428,63776,0.07088,426.410099,20175.23,,,,,
,429,61450,0.00036,413.871907,20205.43,,,,,
,430,59946,0.00024,421.014587,20219.6,,,,,
,431,61231,0.00016,426.686497,20233.6,,,,,
,432,62412,0.00008,454.721801,20232.8,,,,,
,433,58982,0.00028,433.033743,20229.28,,,,,
,434,56893,0.00048,410.732551,20225.87,,,,,
,435,55638,0.00016,405.031245,20226.83,,,,,
,436,55032,0.00016,393.185328,20225.42,,,,,
,437,55272,0.00032,394.682744,20224.69,,,,,
,438,55825,0.00022,377.170216,20225.76,,,,,
,439,57068,0.061418,357.424413,20224.96,,,,,
,440,58836,0.794769,372.024405,20222.58,,,,,
,441,62851,50.094255,359.676899,20217.97,,,,,
,442,65526,212.310748,379.251035,20207.85,,,,,
,443,66095,392.903728,362.312819,20210.76,,,,,
,444,65382,471.75538,393.66166,19902.29,,,,,
,445,60300,489.82941,398.284671,19224.29,,,,,
,446,61922,487.372958,419.005818,19170.55,,,,,
,447,62288,434.094826,425.343366,19171.67,,,,,
,448,61723,307.736255,431.537013,19153.08,,,,,
,449,62260,124.288777,485.710252,19142.51,,,,,
,450,63326,8.856958,511.255592,19150.83,,,,,
,451,63616,0.062012,498.229931,19131.61,,,,,
,452,61686,0.059392,499.32918,19104.54,,,,,
,453,59762,0.00016,494.830328,19134.91,,,,,
,454,58455,0.00024,481.55446,19199.06,,,,,
,455,59753,0.00012,477.91424,19244.63,,,,,
,456,60414,0.00032,455.091492,19251.1,,,,,
,457,56817,0.00038,425.019884,19250.28,,,,,
,458,54205,0.00016,388.146236,19249.22,,,,,
,459,52927,0.00016,366.628096,19249.07,,,,,
,460,52449,0.0003,351.639147,19249.3,,,,,
,461,52866,0.0004,333.222824,19247.35,,,,,
,462,53591,0.00008,316.545004,19245.62,,,,,
,463,54750,0.049353,317.50049,19244.78,,,,,
,464,55956,1.298031,254.016032,19241.79,,,,,
,465,59656,66.008079,208.387809,19238.49,,,,,
,466,62436,255.983129,218.372057,19240.57,,,,,
,467,63608,422.058276,203.073869,19252.24,,,,,
,468,63607,548.373313,193.045413,19248.89,,,,,
,469,59755,576.910559,204.381868,19223.82,,,,,
,470,61816,471.35782,243.161109,19178.92,,,,,
,471,62412,355.565919,265.943115,19175.37,,,,,
,472,61735,279.363075,245.007938,19191.12,,,,,
,473,61730,155.370476,229.153036,19173.59,,,,,
,474,61547,16.587063,179.160526,19007.74,,,,,
,475,61270,0.054722,160.831468,19176.3,,,,,
,476,59784,0.068642,218.901397,19177.92,,,,,
,477,58045,0.00008,200.695715,19190.43,,,,,
,478,57073,0.00024,176.016897,19214.05,,,,,
,479,58602,0.00022,186.56038,19229.96,,,,,
,480,59715,0,239.785736,19241.97,,,,,
,481,55785,0.0003,224.700025,19252.63,,,,,
,482,53324,0.00022,215.281048,19254.24,,,,,
,483,52096,0.0004,225.055364,19254.94,,,,,
,484,51825,0.00014,241.441478,19252.79,,,,,
,485,52710,0.00046,261.567132,19251.6,,,,,
,486,53954,0.00032,231.393983,19251.77,,,,,
,487,55483,0.040806,211.940679,19250.66,,,,,
,488,56953,0.631578,247.482271,19249.3,,,,,
,489,60853,37.386311,237.120322,19248.18,,,,,
,490,63416,99.879842,245.101145,19245.66,,,,,
,491,64474,177.256381,252.438274,19247.95,,,,,
,492,64122,293.130275,243.837359,19242.49,,,,,
,493,59689,416.71482,233.161402,19205.33,,,,,
,494,61908,454.103715,271.457004,19169.38,,,,,
,495,62441,435.754644,263.485651,19177.47,,,,,
,496,61781,339.258601,247.435002,19179.48,,,,,
,497,62224,147.6111,266.949874,19179.54,,,,,
,498,63379,15.574701,308.439514,19194.4,,,,,
,499,64783,0.05165,335.803719,19200.72,,,,,
,500,63329,0.044205,319.968951,19225.67,,,,,
,501,61295,0.00022,318.590148,19252.62,,,,,
,502,59824,0.00024,317.38002,19253.26,,,,,
,503,61170,0,332.846146,19253.08,,,,,
,504,62485,0,293.463352,19253.47,,,,,
,505,58966,0.00068,266.784225,19252.9,,,,,
,506,56344,0.00024,303.202893,19250.74,,,,,
